Ducati Diavel 1260,2019,1400 km,ročni menjalnik,16.990 €
BMW S1000XR GARANCIJA ENO LETO S 1000 XR,2015,67000 km,nožni menjalnik,10.650 €
Kawasaki NINJA 650 ABS,2017,10200 km,nožni menjalnik,5.300 €
Honda NC750XA ODLIČNA,2020,4640 km,ročni menjalnik,6.890 €
BMW S 1000 XR ESA ZNIŽAN,2016,79240 km,nožni menjalnik,10.780 €
BMW R 1250 RT - vsa oprema - SLO,2019,15809 km,polavtomatski menjalnik,19.690 €
Honda NC700SA ABS A2kategorija  SLO HITRI KREDIT,2013,38000 km,nožni menjalnik,3.700 €
Honda CBR650FA NOVE GUME ODLIČNA HITRI KREDIT,2015,38000 km,nožni menjalnik,5.590 €
Kawasaki Kxf450,2015,21000 km,nožni menjalnik,7.000 €
Suzuki GSX-S 1000ABS TC 1.LAST. NOVE GUME HITRI KREDIT,2015,43500 km,nožni menjalnik,7.890 €
Yamaha MT 07 ABS GARANCIJA  ODLIČNA HITRI KREDIT,2020,16000 km,polavtomatski menjalnik,6.100 €
Yamaha Scr 950,2019,3900 km,nožni menjalnik,7.550 €
Yamaha XV 535.HITRI KREDIT,2002,50100 km,ročni menjalnik,3.150 €
Husqvarna Fc350,2019,87 km,nožni menjalnik,4.500 €
BMW BMW R 1200 GS,2017,44000 km,polavtomatski menjalnik,16.200 €
Sherco SE 300 F -AKRAPOVIC- FACTORY-,2015,180 km,ročni menjalnik,4.690 €
KTM 450sxf,2019,98 km,nožni menjalnik,4.500 €
Husqvarna CR50,2016,30 km,avtomatski menjalnik,1.700 €
Yamaha 450- NOVE GUME + VERIŽNI  SET-MOZNE MENJAVE ,2006,22 km,ročni menjalnik,1.990 €
Honda VFR VTEC 800,2006,65000 km,ročni menjalnik,2.500 €
Suzuki V strom,2004,55000 km,nožni menjalnik,2.900 €
BMW s 1000 r,2014,35500 km,nožni menjalnik,7.990 €
Yamaha R6,2006,54550 km,ročni menjalnik,4.999 €
Yamaha FZ-6 ODLICNO OHRANJENA,2005,64000 km,ročni menjalnik,1.990 €
Yamaha YZF R1 ,2008,30000 km,ročni menjalnik,6.800 €
Honda CBF 600S ABS MIVV ,2009,43000 km,ročni menjalnik,3.450 €
Kawasaki ER-6F GPR KOT NOV,2006,42000 km,ročni menjalnik,2.600 €
Yamaha FZ-8 AKRAPOVIC KOT NOVA,2012,53000 km,ročni menjalnik,4.790 €
Yamaha MT-09 TRACER ABS TCS 1 LASTNIK SLO,2015,37000 km,ročni menjalnik,7.530 €
Ducati 939 S SUPER SPORT-SLO.UGODNO,2017,24000 km,polavtomatski menjalnik,9.999 €
Honda Cb 1300 ,2003,64000 km,ročni menjalnik,4.990 €
Yamaha Yzf 250,2009,1234 km,ročni menjalnik,2.650 €
Suzuki GSF 1200 S,2001,46515 km,nožni menjalnik,2.290 €
Kawasaki KLR600s,1986,25000 km,nožni menjalnik,950 €
TM Racing Mx 144,2014,30 km,nožni menjalnik,3.000 €
Beta Beta evo 125,2017,28000 km,nožni menjalnik,5.890 €
BMW R 1200 gs,2012,70000 km,nožni menjalnik,9.990 €
Suzuki Gsx1000s,2016,32500 km,ročni menjalnik,8.000 €
BMW R 1200 GS rally,2012,55600 km,nožni menjalnik,11.000 €
Kawasaki Er6n,2007,17200 km,nožni menjalnik,2.590 €
Yamaha Yzf 250,2015,35 km,polavtomatski menjalnik,3.000 €
KTM Exc 300 ,2012,10200 km,nožni menjalnik,4.000 €
Honda Hornet 900 Možnost menjave,2002,53000 km,nožni menjalnik,2.450 €
Hyosung GT 650 S,2006,8100 km,nožni menjalnik,1.600 €
